query,urls_competing,total_impressions,total_clicks,owner_url,owner_impressions,owner_position,split_impressions,rival_urls,best_position_url_is_owner,best_position
nut free cakes parramatta,3,26,0,https://numnumsbakery.com.au/,13,65.2,13,https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney | https://numnumsbakery.com.au/blog/eggless-cakes-near-me-sydney,False,44.1
premium bakery silverwater,3,69,0,https://numnumsbakery.com.au/blog/eggless-cakes-silverwater,56,7.3,13,https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney | https://numnumsbakery.com.au/blog/eggless-cakes-sydney-olympic-park,True,7.3
semi naked cake chatswood,2,32,0,https://numnumsbakery.com.au/blog/semi-naked-cake-sydney,19,7.7,13,https://numnumsbakery.com.au/blog/naked-cake-sydney,True,7.7
cakes near me,2,184,9,https://numnumsbakery.com.au/,172,10.7,12,https://numnumsbakery.com.au/cakes,False,5.6
"""riverstone bakery""",3,26,0,https://numnumsbakery.com.au/blog/cake-shop-near-me-marsden-park-talawong,15,8.1,11,https://numnumsbakery.com.au/blog/best-dessert-shop-sydney | https://numnumsbakery.com.au/blog/eggless-cakes-annangrove,True,8.1
numnum cake,3,18,2,https://numnumsbakery.com.au/,8,4.4,10,https://numnumsbakery.com.au/cakes | https://numnumsbakery.com.au/order,False,1.8
best eggless cake near me,2,33,1,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,23,4.4,10,https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney,True,4.4
indian bakery near me,2,67,1,https://numnumsbakery.com.au/indian-sweet,57,8.2,10,https://numnumsbakery.com.au/,True,8.2
baby shower cakes sydney,2,30,0,https://numnumsbakery.com.au/cakes,20,20.9,10,https://numnumsbakery.com.au/,True,20.9
custom cake consultation,2,24,0,https://numnumsbakery.com.au/blog/custom-cake-sydney,14,68.5,10,https://numnumsbakery.com.au/blog/cake-consultation-sydney,False,2.3
indian cake shop,3,15,0,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,5,5,10,https://numnumsbakery.com.au/ | https://numnumsbakery.com.au/indian-sweet,True,5
egg less cake near me,2,19,0,https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney,10,6,9,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,True,6
indian cakes near me,2,19,0,https://numnumsbakery.com.au/,10,11.8,9,https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney,False,5.9
bakery marsden park,2,31,0,https://numnumsbakery.com.au/blog/best-dessert-shop-sydney,22,9.2,9,https://numnumsbakery.com.au/,False,7.7
cake near me,2,187,5,https://numnumsbakery.com.au/,179,8.1,8,https://numnumsbakery.com.au/cakes,False,2.8
buy eggless cake,2,22,1,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,14,6.9,8,https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney,True,6.9
gulab jamun cake near me,2,24,1,https://numnumsbakery.com.au/indian-sweet,16,10.1,8,https://numnumsbakery.com.au/,True,10.1
rasmalai cake sydney,2,21,1,https://numnumsbakery.com.au/cakes,13,8.2,8,https://numnumsbakery.com.au/blog/eggless-cake-indian-flavours,False,4.9
cake eggless near me,2,16,0,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,8,6.5,8,https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney,True,6.5
egg free cakes castle hill,2,83,0,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,75,4.6,8,https://numnumsbakery.com.au/blog/eggless-cakes-grantham-farm,True,4.6
marsden park bakery,2,24,0,https://numnumsbakery.com.au/blog/best-dessert-shop-sydney,16,10.1,8,https://numnumsbakery.com.au/,False,9.1
nut free cakes cherrybrook,2,29,0,https://numnumsbakery.com.au/,21,81.5,8,https://numnumsbakery.com.au/blog/eggless-cakes-cherrybrook,False,5.6
cake shop schofields,2,20,1,https://numnumsbakery.com.au/,13,8.6,7,https://numnumsbakery.com.au/blog/eggless-cakes-schofields,True,8.6
"""riverstone bakery"" bakery",2,18,0,https://numnumsbakery.com.au/blog/eggless-cakes-annangrove,11,10.2,7,https://numnumsbakery.com.au/blog/cake-shop-near-me-marsden-park-talawong,False,9.1
birthday cake and smash cake,2,38,0,https://numnumsbakery.com.au/blog/first-birthday-cake-sydney,31,18.8,7,https://numnumsbakery.com.au/blog/cake-smash-vs-first-birthday-cake-sydney,True,18.8
birthday cake north sydney,2,15,0,https://numnumsbakery.com.au/cakes,8,79.1,7,https://numnumsbakery.com.au/,False,54.7
indian bakery,2,208,0,https://numnumsbakery.com.au/indian-sweet,201,11.4,7,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,False,7
num nums,2,851,4,https://numnumsbakery.com.au/,845,5.6,6,https://numnumsbakery.com.au/cakes,False,1.3
cake shops near me,2,110,3,https://numnumsbakery.com.au/,104,8.9,6,https://numnumsbakery.com.au/cakes,False,6.3
eggless cake order online,2,16,0,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,10,8,6,https://numnumsbakery.com.au/order,False,7.3
dairy free cakes delivery sydney,2,63,0,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,57,24.3,6,https://numnumsbakery.com.au/,True,24.3
eggless cake bakery,2,14,0,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,8,7.9,6,https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney,False,6.2
north sydney cakes,2,16,0,https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney,10,26.1,6,https://numnumsbakery.com.au/,True,26.1
tom cakes,2,13,0,https://numnumsbakery.com.au/,7,39.9,6,https://numnumsbakery.com.au/cakes,True,39.9
veg cake near me,2,12,0,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,6,6.5,6,https://numnumsbakery.com.au/,True,6.5
vegan cakes cherrybrook,2,18,0,https://numnumsbakery.com.au/,12,70.1,6,https://numnumsbakery.com.au/blog/eggless-cakes-cherrybrook,False,9.8
num num,2,429,9,https://numnumsbakery.com.au/,424,2.4,5,https://numnumsbakery.com.au/cakes,False,1.2
cake shop,2,115,2,https://numnumsbakery.com.au/,110,12.7,5,https://numnumsbakery.com.au/cakes,False,5.8
eggless chocolate cake near me,2,15,2,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,10,5.7,5,https://numnumsbakery.com.au/blog/eggless-cakes-doonside,False,3.8
riverstone village shopping centre directory,2,10,2,https://numnumsbakery.com.au/,5,1,5,https://numnumsbakery.com.au/cakes,True,1
where to buy eggless cake near me,2,15,0,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,10,5.8,5,https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney,True,5.8
best cake shop near me,2,18,0,https://numnumsbakery.com.au/,13,10.1,5,https://numnumsbakery.com.au/blog/best-cake-sydney,False,9.2
best red velvet cake sydney,2,33,0,https://numnumsbakery.com.au/blog/best-cake-sydney,28,2.5,5,https://numnumsbakery.com.au/blog/eggless-red-velvet-cake-sydney,True,2.5
birthday cakes sydney west,2,75,0,https://numnumsbakery.com.au/blog/birthday-cake-north-west-sydney,70,8.7,5,https://numnumsbakery.com.au/blog/best-dessert-shop-sydney,True,8.7
cakes in sydney,2,20,0,https://numnumsbakery.com.au/,15,66.7,5,https://numnumsbakery.com.au/blog/best-cake-sydney,False,8.2
custom cake sydney,2,12,0,https://numnumsbakery.com.au/blog/first-birthday-cake-sydney,7,19.4,5,https://numnumsbakery.com.au/blog/photo-cake-sydney,False,13.4
eggless,2,18,0,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,13,10,5,https://numnumsbakery.com.au/cakes,False,1.8
eggless brownies near me,2,13,0,https://numnumsbakery.com.au/,8,23.6,5,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,False,8.2
eggless muffins near me,2,11,0,https://numnumsbakery.com.au/,6,7.2,5,https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney,False,5.2
halal cakes,2,44,0,https://numnumsbakery.com.au/blog/halal-friendly-cakes-eggless-sydney,39,26.9,5,https://numnumsbakery.com.au/,False,13.8
kids birthday cake sydney,2,30,0,https://numnumsbakery.com.au/blog/kids-birthday-cake-sydney,25,17.9,5,https://numnumsbakery.com.au/blog/kids-birthday-cake-north-west-sydney,False,15
kids cakes sydney,2,84,0,https://numnumsbakery.com.au/blog/kids-birthday-cake-sydney,79,18.7,5,https://numnumsbakery.com.au/blog/first-birthday-cake-sydney,False,2.6
no egg cake near me,2,14,0,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,9,5.9,5,https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney,False,4.4
